ID	Old ID	Enzymes	Roles	Reaction
PS_complex_108b6e	rxn01011_d_A	NADH-dependent hydroxypyruvate reductase	NADH-dependent hydroxypyruvate reductase (EC 1.1.1.29)	rxn01011_d
PS_complex_0a221e	rxn01011_x_A	NADH-dependent hydroxypyruvate reductase	NADH-dependent hydroxypyruvate reductase (EC 1.1.1.29)	rxn01011_x
PS_complex_cd0516	rxn01018_d_A	Aspartate carbamoyltransferase	Aspartate carbamoyltransferase (EC 2.1.3.2)	rxn01018_d
PS_complex_2f78e1	rxn01019_d_A	Ornithine carbamoyltransferase	Ornithine carbamoyltransferase (EC 2.1.3.3)	rxn01019_d
PS_complex_e6b68c	rxn01021_c_A	5'-methylthioadenosine nucleosidase	5'-methylthioadenosine nucleosidase (EC 3.2.2.16)	rxn01021_c
PS_complex_faa9cc	rxn01069_d_A	Threonine synthase	Threonine synthase (EC 4.2.3.1)	rxn01069_d
PS_complex_f80769	rxn01071_c_A	Ethanolamine kinase	Ethanolamine kinase (EC 2.7.1.82)	rxn01071_c
PS_complex_b9c20e	rxn01075_c_A	UDP-arabinose 4-epimerase	UDP-arabinose 4-epimerase (EC 5.1.3.5)	rxn01075_c
PS_complex_8bd297	rxn01075_g_A	UDP-arabinose 4-epimerase	UDP-arabinose 4-epimerase (EC 5.1.3.5)	rxn01075_g
PS_complex_f7fdd8	rxn01100_c_A	Phosphoglycerate kinase	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100_c
PS_complex_88366d	rxn01100_d_A	Phosphoglycerate kinase	Phosphoglycerate kinase (EC 2.7.2.3)	rxn01100_d
PS_complex_61a546	rxn01101_d_A	D-3-phosphoglycerate dehydrogenase	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	rxn01101_d
PS_complex_4f89a2	rxn01102_d_A	D-glycerate 3-kinase	D-glycerate 3-kinase (EC 2.7.1.31), plant type	rxn01102_d
PS_complex_4ade6d	rxn01106_c_A	Phosphoglycerate mutase	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)	rxn01106_c
PS_complex_8c1696	rxn01106_d_A	Phosphoglycerate mutase	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)	rxn01106_d
PS_complex_855e05	rxn01115_c_A	6-phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	rxn01115_c
PS_complex_7ccd71	rxn01115_d_A	6-phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	rxn01115_d
PS_complex_35f130	rxn01115_m_A	6-phosphogluconate dehydrogenase	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	rxn01115_m
PS_complex_e5899e	rxn01116_d_A	Ribulose-phosphate 3-epimerase	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	rxn01116_d
PS_complex_325842	rxn01117_c_A	Arabinose 5-phosphate isomerase	Arabinose 5-phosphate isomerase (EC 5.3.1.13)	rxn01117_c
PS_complex_c02698	rxn01169_c_A	Glucokinase	Glucokinase (EC 2.7.1.2)	rxn01169_c
PS_complex_d4cf65	rxn01169_m_A	Hexokinase	Hexokinase (EC 2.7.1.1)	rxn01169_m
PS_complex_ad5f1d	rxn01179_c_A	Chalcone synthase	Chalcone synthase (EC 2.3.1.74)	rxn01179_c
PS_complex_b01df3	rxn01179_n_A	Chalcone synthase	Chalcone synthase (EC 2.3.1.74)	rxn01179_n
PS_complex_74eb18	rxn01179_r_A	Chalcone synthase	Chalcone synthase (EC 2.3.1.74)	rxn01179_r
PS_complex_4715e0	rxn01181_c_A	Cinnamoyl-CoA reductase	Cinnamoyl-CoA reductase (EC 1.2.1.44)	rxn01181_c
PS_complex_b69a4e	rxn01182_c_A	4-coumarate--CoA ligase	4-coumarate--CoA ligase (EC 6.2.1.12)	rxn01182_c
PS_complex_c2a7cb	rxn01199_c_A	Xylulose kinase	Xylulose kinase (EC 2.7.1.17)	rxn01199_c
PS_complex_34e808	rxn01199_d_A	Xylulose kinase	Xylulose kinase (EC 2.7.1.17)	rxn01199_d
PS_complex_63d4fd	rxn01200_d_A	Transketolase	Transketolase (EC 2.2.1.1)	rxn01200_d
PS_complex_255d9a	rxn01208_d_A	Spontaneous Reaction	Spontaneous Reaction	rxn01208_d
PS_complex_7058fe	rxn01213_c_A	Geranyl-diphosphate synthase	Geranyl-diphosphate synthase (EC 2.5.1.1)	rxn01213_c
PS_complex_223bbe	rxn01213_d_A	Geranyl-diphosphate synthase	Geranyl-diphosphate synthase (EC 2.5.1.1)	rxn01213_d
PS_complex_180a88	rxn01213_m_A	Geranyl-diphosphate synthase	Geranyl-diphosphate synthase (EC 2.5.1.1)	rxn01213_m
PS_complex_d70902	rxn01217_c_A	Deoxycytidine monophosphate deaminase	Deoxycytidine monophosphate deaminase (EC 3.5.4.12)	rxn01217_c
PS_complex_4e8c3f	rxn01249_d_A	Pyridoxal reductase	Pyridoxal reductase (EC 1.1.1.65)	rxn01249_d
PS_complex_de6425	rxn01253_c_A	Pyridoxamine-pyruvate aminotransferase	Pyridoxamine-pyruvate aminotransferase (EC 2.6.1.30)	rxn01253_c
PS_complex_604f06	rxn01255_d_A	Chorismate synthase	Chorismate synthase (EC 4.2.3.5)	rxn01255_d
PS_complex_865e27	rxn01256_c_A	Chorismate mutase	Chorismate mutase III (EC 5.4.99.5)	rxn01256_c
PS_complex_8a4d93	rxn01256_d_A	Chorismate mutase	Chorismate mutase III (EC 5.4.99.5)	rxn01256_d
PS_complex_9c6a56	rxn01262_c_A	Nicotinate N-methyltransferase	Nicotinate N-methyltransferase (EC 2.1.1.7)	rxn01262_c
PS_complex_e7ff8c	rxn01263_c_A	UDP-glucose:nicotinate-N-glucosyltransferase 	UDP-glucose:nicotinate-N-glucosyltransferase  (EC 2.4.1.196)	rxn01263_c
PS_complex_38d615	rxn01265_c_A	Nicotinate phosphoribosyltransferase	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	rxn01265_c
PS_complex_618856	rxn01275_c_A	Gluconokinase	Gluconokinase (EC 2.7.1.12)	rxn01275_c
PS_complex_921a88	rxn01329_c_A	Phosphomannomutase	Phosphomannomutase (EC 5.4.2.8)	rxn01329_c
PS_complex_779ec1	rxn01332_d_A	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	rxn01332_d
PS_complex_324f5d	rxn01334_c_A	Fructose-bisphosphate aldolase	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334_c
PS_complex_5a9fe3	rxn01334_d_A	Fructose-bisphosphate aldolase	Fructose-bisphosphate aldolase class I (EC 4.1.2.13)	rxn01334_d
PS_complex_6036e8	rxn01345_d_A	Sedoheptulose-1,7-bisphosphatase	Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37)	rxn01345_d
PS_complex_07498d	rxn01353_c_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01353_c
PS_complex_8e9f40	rxn01353_d_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01353_d
PS_complex_ec6379	rxn01353_m_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01353_m
PS_complex_c01d04	rxn01353_n_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01353_n
PS_complex_b5f34b	rxn01353_x_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01353_x
PS_complex_d83c9c	rxn01362_c_A	Orotate phosphoribosyltransferase	Orotate phosphoribosyltransferase (EC 2.4.2.10)	rxn01362_c
PS_complex_28a7f3	rxn01380_c_A	Cholinephosphate cytidylyltransferase	Cholinephosphate cytidylyltransferase (EC 2.7.7.15)	rxn01380_c
PS_complex_149f7f	rxn01396_c_A	Pyridoxal kinase	Pyridoxal kinase (EC 2.7.1.35)	rxn01396_c
PS_complex_c604bb	rxn01396_d_A	Pyridoxal kinase	Pyridoxal kinase (EC 2.7.1.35)	rxn01396_d
PS_complex_3f3215	rxn01399_c_A	UDP-glucose:pyridoxine 5'-O-beta-D-glucosyltransferase	UDP-glucose:pyridoxine 5'-O-beta-D-glucosyltransferase (EC 2.4.1.160)	rxn01399_c
PS_complex_7eb824	rxn01426_c_A	Caffeoyl-CoA O-methyltransferase	Caffeoyl-CoA O-methyltransferase (EC 2.1.1.104)	rxn01426_c
PS_complex_6fca4c	rxn01427_c_A	4-coumarate--CoA ligase	4-coumarate--CoA ligase (EC 6.2.1.12)	rxn01427_c
PS_complex_b61fe3	rxn01429_c_A	Shikimate O-hydroxycinnamoyltransferase	Shikimate O-hydroxycinnamoyltransferase (EC 2.3.1.133)	rxn01429_c
PS_complex_ec9d1f	rxn01434_d_A	Argininosuccinate synthase	Argininosuccinate synthase (EC 6.3.4.5)	rxn01434_d
PS_complex_098b05	rxn01454_c_A	Hydroxymethylglutaryl-CoA synthase	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	rxn01454_c
PS_complex_712beb	rxn01455_c_A	Galacturonokinase	Galacturonokinase (EC 2.7.1.44)	rxn01455_c
PS_complex_5698a4	rxn01465_c_A	Dihydroorotase	Dihydroorotase (EC 3.5.2.3)	rxn01465_c
PS_complex_f22db4	rxn01465_d_A	Dihydroorotase	Dihydroorotase (EC 3.5.2.3)	rxn01465_d
PS_complex_cd7bba	rxn01466_c_A	Farnesyl-diphosphate synthase	Farnesyl-diphosphate synthase (EC 2.5.1.10)	rxn01466_c
PS_complex_8d1eae	rxn01471_d_A	Myrcene synthase	Myrcene synthase (EC 4.2.3.15)	rxn01471_d
PS_complex_ef1f23	rxn01476_c_A	6-phosphogluconolactonase	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	rxn01476_c
PS_complex_bc528f	rxn01476_d_A	6-phosphogluconolactonase	6-phosphogluconolactonase (EC 3.1.1.31), eukaryotic type	rxn01476_d
PS_complex_3fc113	rxn01478_c_A	Phosphoethanolamine N-methyltransferase	Phosphoethanolamine N-methyltransferase (EC 2.1.1.103)	rxn01478_c
PS_complex_70a1e3	rxn01479_c_A	Ethanolamine-phosphate cytidylyltransferase	Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14)	rxn01479_c
PS_complex_7b0605	rxn01486_d_A	Geranylgeranyl pyrophosphate synthetase	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	rxn01486_d
PS_complex_578d93	rxn01486_d_B	Solanesyl diphosphate synthase	Solanesyl diphosphate synthase (EC 2.5.1.85)	rxn01486_d
PS_complex_c839f4	rxn01486_m_A	Geranylgeranyl pyrophosphate synthetase	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	rxn01486_m
PS_complex_e1ba5f	rxn01486_m_B	Solanesyl diphosphate synthase	Solanesyl diphosphate synthase (EC 2.5.1.85)	rxn01486_m
PS_complex_f1ced0	rxn01486_r_A	Geranylgeranyl pyrophosphate synthetase	Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29)	rxn01486_r
PS_complex_e93c18	rxn01486_r_B	Solanesyl diphosphate synthase	Solanesyl diphosphate synthase (EC 2.5.1.85)	rxn01486_r
PS_complex_ecab7a	rxn01490_d_A	Ent-copalyl-diphosphate synthase	Ent-copalyl-diphosphate synthase (EC 5.5.1.13)	rxn01490_d
PS_complex_21dc51	rxn01494_c_A	Extradiol ring-cleavage dioxygenase [caffealdehyde, other]	Extradiol ring-cleavage dioxygenase [caffealdehyde, other] (EC 1.13.-.-)	rxn01494_c
PS_complex_36de18	rxn01501_c_A	Hydroxymethylglutaryl-CoA reductase	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	rxn01501_c
PS_complex_9a18da	rxn01501_r_A	Hydroxymethylglutaryl-CoA reductase	Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34)	rxn01501_r
PS_complex_71d59b	rxn01511_c_A	Apyrase, ATP-diphosphatase	Apyrase, ATP-diphosphatase (EC 3.6.1.5)	rxn01511_c
PS_complex_53bd57	rxn01511_g_A	Apyrase, ATP-diphosphatase	Apyrase, ATP-diphosphatase (EC 3.6.1.5)	rxn01511_g
PS_complex_5d32d5	rxn01512_c_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01512_c
PS_complex_00e1bc	rxn01512_d_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01512_d
PS_complex_c4b57b	rxn01512_m_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01512_m
PS_complex_e20145	rxn01512_n_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01512_n
PS_complex_fb6a51	rxn01512_x_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01512_x
PS_complex_577510	rxn01513_c_A	Thymidylate kinase	Thymidylate kinase (EC 2.7.4.9)	rxn01513_c
PS_complex_2872ba	rxn01513_m_A	Thymidylate kinase	Thymidylate kinase (EC 2.7.4.9)	rxn01513_m
PS_complex_058aec	rxn01514_c_A	Apyrase, ATP-diphosphatase	Apyrase, ATP-diphosphatase (EC 3.6.1.5)	rxn01514_c
PS_complex_3a5323	rxn01514_g_A	Apyrase, ATP-diphosphatase	Apyrase, ATP-diphosphatase (EC 3.6.1.5)	rxn01514_g
PS_complex_9002dd	rxn01519_c_A	Deoxyuridine 5'-triphosphate nucleotidohydrolase	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	rxn01519_c
PS_complex_82cf84	rxn01539_c_A	Thiamine-monophosphate phosphatase	Thiamine-monophosphate phosphatase (EC 3.1.3.-)	rxn01539_c
PS_complex_00124a	rxn01539_d_A	Thiamine-monophosphate phosphatase	Thiamine-monophosphate phosphatase (EC 3.1.3.-)	rxn01539_d
PS_complex_e55067	rxn01570_c_A	Cinnamoyl-CoA reductase	Cinnamoyl-CoA reductase (EC 1.2.1.44)	rxn01570_c
PS_complex_88d533	rxn01571_c_A	4-coumarate--CoA ligase	4-coumarate--CoA ligase (EC 6.2.1.12)	rxn01571_c
PS_complex_88d533	rxn01571_c_B	4-coumarate--CoA ligase	4-coumarate--CoA ligase 1 (EC 6.2.1.12)	rxn01571_c
PS_complex_aae52c	rxn01607_c_A	Mevalonate kinase	Mevalonate kinase (EC 2.7.1.36)	rxn01607_c
PS_complex_433bab	rxn01611_c_A	Trans-cinnamate 4-monooxygenase	Trans-cinnamate 4-monooxygenase (EC 1.14.13.11)	rxn01611_c
PS_complex_5b11bc	rxn01611_r_A	Trans-cinnamate 4-monooxygenase	Trans-cinnamate 4-monooxygenase (EC 1.14.13.11)	rxn01611_r
PS_complex_02ce14	rxn01612_c_A	trans-cinnamate 2-monooxygenase	trans-cinnamate 2-monooxygenase (EC 1.14.13.14)	rxn01612_c
PS_complex_661311	rxn01613_c_A	(E)-Cinnamoyl-CoA ligase	(E)-Cinnamoyl-CoA ligase (EC 6.2.1.-)	rxn01613_c
PS_complex_c94244	rxn01613_c_B	4-coumarate--CoA ligase	4-coumarate--CoA ligase (EC 6.2.1.12)	rxn01613_c
PS_complex_b8ce2f	rxn01626_c_A	Dihydropyrimidinase	Dihydropyrimidinase (EC 3.5.2.2)	rxn01626_c
PS_complex_48ff25	rxn01626_r_A	Dihydropyrimidinase	Dihydropyrimidinase (EC 3.5.2.2)	rxn01626_r
PS_complex_90e78a	rxn01629_c_A	Glutamate-1-semialdehyde aminotransferase	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	rxn01629_c
PS_complex_2f23a8	rxn01629_d_A	Glutamate-1-semialdehyde aminotransferase	Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8)	rxn01629_d
PS_complex_c94a63	rxn01636_d_A	Glutamate N-acetyltransferase	Glutamate N-acetyltransferase (EC 2.3.1.35)	rxn01636_d
PS_complex_dc223c	rxn01637_d_A	Acetylornithine aminotransferase	Acetylornithine aminotransferase (EC 2.6.1.11)	rxn01637_d
PS_complex_928146	rxn01643_c_A	Aspartate-semialdehyde dehydrogenase	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	rxn01643_c
PS_complex_5c84ba	rxn01643_d_A	Aspartate-semialdehyde dehydrogenase	Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	rxn01643_d
PS_complex_e7e66d	rxn01644_d_A	4-hydroxy-tetrahydrodipicolinate synthase	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	rxn01644_d
PS_complex_3b1d35	rxn01652_c_A	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase	rxn01652_c
PS_complex_4222ce	rxn01652_d_A	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase	rxn01652_d
PS_complex_bf6980	rxn01652_m_A	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase	5,10-methenyltetrahydrofolate to 5-formyltetrahydrofolate hydrolase	rxn01652_m
PS_complex_55c4e7	rxn01653_m_A	5-formyltetrahydrofolate cyclo-ligase	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)	rxn01653_m
PS_complex_d2f8e0	rxn01670_c_A	5'-nucleotidase	5'-nucleotidase (EC 3.1.3.5)	rxn01670_c
PS_complex_28738b	rxn01670_c_B	NMN phosphatase	NMN phosphatase (EC 3.1.3.5)	rxn01670_c
PS_complex_34209f	rxn01673_c_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01673_c
PS_complex_e9f7b4	rxn01673_d_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01673_d
PS_complex_8c8054	rxn01673_m_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01673_m
PS_complex_a24738	rxn01673_n_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01673_n
PS_complex_15c7c4	rxn01673_x_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01673_x
PS_complex_bc1cb6	rxn01678_c_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01678_c
PS_complex_aaa997	rxn01678_d_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01678_d
PS_complex_e516c1	rxn01678_m_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01678_m
PS_complex_91b8da	rxn01678_n_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01678_n
PS_complex_e472b1	rxn01678_x_A	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase (EC 2.7.4.6)	rxn01678_x
PS_complex_0b847b	rxn01712_c_A	Caffeic-o-methyltransferase	Caffeic-o-methyltransferase (EC 2.1.1.68)	rxn01712_c
PS_complex_747cc4	rxn01713_c_A	UDP-glucose:sinapate glucosyltransferase	UDP-glucose:sinapate glucosyltransferase (EC 2.4.1.120)	rxn01713_c
PS_complex_9e6cdc	rxn01714_c_A	Sinapine esterase	Sinapine esterase (EC 3.1.1.49)	rxn01714_c
PS_complex_52eb26	rxn01718_c_A	Tyramine N-feruloyltransferase	Tyramine N-feruloyltransferase (EC 2.3.1.110)	rxn01718_c
PS_complex_53b0fa	rxn01739_d_A	Shikimate kinase I	Shikimate kinase I (EC 2.7.1.71)	rxn01739_d
PS_complex_985a5a	rxn01743_c_A	Shikimate O-hydroxycinnamoyltransferase	Shikimate O-hydroxycinnamoyltransferase (EC 2.3.1.133)	rxn01743_c
PS_complex_ee7ff1	rxn01765_c_A	Flavanone-3-hydroxylase	Flavanone-3-hydroxylase (EC 1.14.13.21)	rxn01765_c
PS_complex_7cae5a	rxn01765_c_B	Flavonoid 3'-hydroxylase	Flavonoid 3'-hydroxylase (EC 1.14.13.21)	rxn01765_c
PS_complex_4dd7b4	rxn01765_c_C	Flavonoid 3'-monooxygenase	Flavonoid 3'-monooxygenase (EC 1.14.13.21)	rxn01765_c
PS_complex_bda061	rxn01765_r_A	Flavanone-3-hydroxylase	Flavanone-3-hydroxylase (EC 1.14.13.21)	rxn01765_r
PS_complex_1d2705	rxn01765_r_B	Flavonoid 3'-hydroxylase	Flavonoid 3'-hydroxylase (EC 1.14.13.21)	rxn01765_r
PS_complex_ecb9f5	rxn01765_r_C	Flavonoid 3'-monooxygenase	Flavonoid 3'-monooxygenase (EC 1.14.13.21)	rxn01765_r
PS_complex_6072cb	rxn01790_c_A	2-dehydropantoate 2-reductase	2-dehydropantoate 2-reductase (EC 1.1.1.169)	rxn01790_c
PS_complex_6b4a89	rxn01791_c_A	Pantoate--beta-alanine ligase	Pantoate--beta-alanine ligase (EC 6.3.2.1)	rxn01791_c
PS_complex_a051d9	rxn01807_c_A	Pyridoxal kinase	Pyridoxal kinase (EC 2.7.1.35)	rxn01807_c
PS_complex_47ab4c	rxn01807_d_A	Pyridoxal kinase	Pyridoxal kinase (EC 2.7.1.35)	rxn01807_d
PS_complex_c4842a	rxn01827_c_A	4-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	rxn01827_c
PS_complex_b7686f	rxn01827_d_A	4-hydroxyphenylpyruvate dioxygenase	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	rxn01827_d
PS_complex_297521	rxn01887_c_A	Cinnamyl alcohol dehydrogenase/reductase	Cinnamyl alcohol dehydrogenase/reductase (EC 1.1.1.195)	rxn01887_c
PS_complex_bd1553	rxn01887_w_A	Cinnamyl alcohol dehydrogenase/reductase	Cinnamyl alcohol dehydrogenase/reductase (EC 1.1.1.195)	rxn01887_w
PS_complex_5a35bf	rxn01888_c_A	Coniferyl-alcohol and sinapyl-alcohol glucosyltransferase	Coniferyl-alcohol and sinapyl-alcohol glucosyltransferase (EC 2.4.1.111)	rxn01888_c
PS_complex_6bf331	rxn01909_c_A	UDP-sugar pyrophosphorylase	UDP-sugar pyrophosphorylase (EC 2.7.7.64)	rxn01909_c
PS_complex_fa2f8b	rxn01917_d_A	Acetylglutamate kinase	Acetylglutamate kinase (EC 2.7.2.8)	rxn01917_d
PS_complex_63e28b	rxn01935_d_A	Hydroxynitrile lyase	Hydroxynitrile lyase (EC 4.1.2.11)	rxn01935_d
PS_complex_5f65a1	rxn01967_c_A	Beta-phosphoglucomutase	Beta-phosphoglucomutase (EC 5.4.2.6)	rxn01967_c
PS_complex_655aec	rxn01974_d_A	Diaminopimelate epimerase	Diaminopimelate epimerase (EC 5.1.1.7)	rxn01974_d
PS_complex_88fb57	rxn01975_c_A	Glucose-6-phosphate 1-dehydrogenase	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975_c
PS_complex_401830	rxn01975_d_A	Glucose-6-phosphate 1-dehydrogenase	Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49)	rxn01975_d
PS_complex_9891e2	rxn02004_c_A	Trehalose-6-phosphate phosphatase	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	rxn02004_c
PS_complex_ccc595	rxn02004_m_A	Trehalose-6-phosphate phosphatase	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	rxn02004_m
PS_complex_f4a5e3	rxn02004_n_A	Trehalose-6-phosphate phosphatase	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	rxn02004_n
PS_complex_3b407a	rxn02004_x_A	Trehalose-6-phosphate phosphatase	Trehalose-6-phosphate phosphatase (EC 3.1.3.12)	rxn02004_x
PS_complex_adc1d6	rxn02056_d_A	Sirohydrochlorin ferrochelatase	Sirohydrochlorin ferrochelatase (EC 4.99.1.4)	rxn02056_d
PS_complex_2ce714	rxn02133_c_A	Sphinganine kinase	Sphinganine kinase (EC 2.7.1.91)	rxn02133_c
PS_complex_8a93b6	rxn02134_r_A	3-dehydrosphinganine reductase	3-dehydrosphinganine reductase (EC 1.1.1.102)	rxn02134_r
PS_complex_2e774e	rxn02155_c_A	Nicotinamide-nucleotide adenylyltransferase	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1), eukaryotic PNAT family	rxn02155_c
PS_complex_4aa2ef	rxn02155_c_B	Nicotinate-nucleotide adenylyltransferase	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18), eukaryotic PNAT family	rxn02155_c
PS_complex_29cb33	rxn02175_c_A	Phosphopantetheine adenylyltransferase	Phosphopantetheine adenylyltransferase, type II eukaryotic (EC 2.7.7.3)	rxn02175_c
PS_complex_a538a9	rxn02212_d_A	3-dehydroquinate synthase	3-dehydroquinate synthase (EC 4.2.3.4)	rxn02212_d
PS_complex_5233b8	rxn02264_c_A	Uroporphyrinogen-III synthase	Uroporphyrinogen-III synthase (EC 4.2.1.75)	rxn02264_c
PS_complex_0ca93c	rxn02264_d_A	Uroporphyrinogen-III synthase	Uroporphyrinogen-III synthase (EC 4.2.1.75)	rxn02264_d
PS_complex_6d4b1e	rxn02288_c_A	Uroporphyrinogen III decarboxylase	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	rxn02288_c
PS_complex_de196c	rxn02288_d_A	Uroporphyrinogen III decarboxylase	Uroporphyrinogen III decarboxylase (EC 4.1.1.37)	rxn02288_d
PS_complex_31b147	rxn02297_c_A	8-amino-7-oxononanoate synthase	8-amino-7-oxononanoate synthase (EC 2.3.1.47)	rxn02297_c
PS_complex_920ac6	rxn02299_c_A	N-hydroxythioamide S-beta-glucosyltransferase in Trp, Phe, Tyr-derived glucosinolates biosynthesis	N-hydroxythioamide S-beta-glucosyltransferase (EC 2.4.1.195) in Trp, Phe, Tyr-derived glucosinolates biosynthesis	rxn02299_c
PS_complex_6b6ddf	rxn02300_c_A	Desulfoglucosinolate sulfotransferase	Desulfoglucosinolate sulfotransferase (EC 2.8.2.-)	rxn02300_c
PS_complex_efc6c0	rxn02302_c_A	Cystathionine gamma-synthase	Cystathionine gamma-synthase (EC 2.5.1.48)	rxn02302_c
PS_complex_1364ca	rxn02303_c_A	Coproporphyrinogen III oxidase	Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	rxn02303_c
PS_complex_22cdba	rxn02303_d_A	Coproporphyrinogen III oxidase	Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)	rxn02303_d
PS_complex_1aff78	rxn02304_c_A	Protoporphyrinogen IX oxidase	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)	rxn02304_c
PS_complex_6d20c3	rxn02304_d_A	Protoporphyrinogen IX oxidase	Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)	rxn02304_d
PS_complex_9152a1	rxn02320_d_A	Histidinol-phosphate aminotransferase	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	rxn02320_d
PS_complex_9acd4a	rxn02322_c_A	Phosphomevalonate kinase	Phosphomevalonate kinase (EC 2.7.4.2)	rxn02322_c
PS_complex_5dd64b	rxn02322_x_A	Phosphomevalonate kinase	Phosphomevalonate kinase (EC 2.7.4.2)	rxn02322_x
PS_complex_6ec774	rxn02331_c_A	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase	2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	rxn02331_c
