"PSI","Species A","Species B"
"0.20","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo22G0002600"
"0.20","sp|Q9M6E2|DBAT_TAXCU","Taxus_chinensis||evm2.model.Chr12.405"
"0.20","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d027948_T001"
"0.20","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d030542_T001"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00057.237"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Bdistachyon_v3.1||Bradi1g72210.1"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Bdistachyon_v3.1||Bradi1g72220.1"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Csinensis_v1.1||orange1.1g045235m"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Osativa_v7.0||LOC_Os01g26100.1"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Osativa_v7.0||LOC_Os03g08720.1"
"0.20","sp|Q9M6F0|T5AT_TAXCU","PWA90336.1"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Slycopersicum_ITAG3.2||Solyc05g015795.1.1"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Slycopersicum_ITAG3.2||Solyc08g005750.2.1"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo12G0047500"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo22G0002600"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d024864_T001"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d030542_T001"
"0.20","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d035249_T001"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.410","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.413","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.414","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.418","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00038.22","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00045.99","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00045.99","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00057.237","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.197","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.197","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.198","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.198","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.199","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.199","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00137.5","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00137.5","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00137.5","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00727.2","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold01004.2","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold01004.2","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Bdistachyon_v3.1||Bradi1g72220.1","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Bdistachyon_v3.1||Bradi1g72230.1","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Bdistachyon_v3.1||Bradi1g72237.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Bdistachyon_v3.1||Bradi1g72237.1","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Bdistachyon_v3.1||Bradi3g02310.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Bdistachyon_v3.1||Bradi3g23280.1","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Bdistachyon_v3.1||Bradi3g23280.1","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Bdistachyon_v3.1||Bradi4g36820.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Csinensis_v1.1||orange1.1g031330m","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Csinensis_v1.1||orange1.1g031330m","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Csinensis_v1.1||orange1.1g031989m","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Csinensis_v1.1||orange1.1g041298m","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Csinensis_v1.1||orange1.1g041298m","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Csinensis_v1.1||orange1.1g044203m","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Csinensis_v1.1||orange1.1g044203m","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Csinensis_v1.1||orange1.1g045235m","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Csinensis_v1.1||orange1.1g048162m","sp|Q9FPW3|DBBT_TAXCU"
"0.21","GWHPAOSJ010033","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","GWHPAOSJ012881","sp|Q8LL69|DBNBT_TAXCA"
"0.21","GWHPAOSJ012881","sp|Q9M6F0|T5AT_TAXCU"
"0.21","GWHPAOSJ021735","sp|Q9M6E2|DBAT_TAXCU"
"0.21","GWHPAOSJ027345","sp|Q9FPW3|DBBT_TAXCU"
"0.21","GWHPAOSJ027798","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Gmax_Wm82.a4.v1||Glyma.02G069100.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Gmax_Wm82.a4.v1||Glyma.16G039500.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Gmax_Wm82.a4.v1||Glyma.16G150600.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000152387","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Mdomestica_v1.0||MDP0000160216","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Mdomestica_v1.0||MDP0000261618","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000261618","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000297027","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000297027","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000297585","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000297585","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000388537","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000388537","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000722697","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Mdomestica_v1.0||MDP0000722697","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Mdomestica_v1.0||MDP0000731680","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Osativa_v7.0||LOC_Os01g26100.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Osativa_v7.0||LOC_Os03g47860.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Osativa_v7.0||LOC_Os07g39890.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Osativa_v7.0||LOC_Os09g37180.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Osativa_v7.0||LOC_Os09g37200.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Osativa_v7.0||LOC_Os10g23310.1","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Osativa_v7.0||LOC_Os10g23310.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Osativa_v7.0||LOC_Os10g23820.1","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Osativa_v7.0||LOC_Os11g42290.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Osativa_v7.0||LOC_Os11g42290.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Osativa_v7.0||LOC_Os11g42370.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Osativa_v7.0||LOC_Os11g42370.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","PWA41951.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","PWA47939.1","sp|Q9FPW3|DBBT_TAXCU"
"0.21","PWA55117.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","PWA55118.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","PWA70548.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","PWA74645.1","sp|Q8LL69|DBNBT_TAXCA"
"0.21","PWA74645.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","PWA74645.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","PWA77293.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","PWA90336.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","PWA90337.1","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Ptrichocarpa_v4.1||Potri.001G447900.2","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Ptrichocarpa_v4.1||Potri.001G447900.2","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Sbicolor_v3.1.1||Sobic.001G135900.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Sbicolor_v3.1.1||Sobic.006G062700.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Sbicolor_v3.1.1||Sobic.010G034800.1","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Sbicolor_v3.1.1||Sobic.010G034800.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc05g015770.1.1","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc05g015770.1.1","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc05g015770.1.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc05g015795.1.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc07g049660.3.1","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc08g005750.2.1","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Slycopersicum_ITAG3.2||Solyc08g005750.2.1","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc11g066640.1.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc11g071470.1.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Slycopersicum_ITAG3.2||Solyc11g071480.1.1","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Smoellendorffii_v1.0||408998","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Smoellendorffii_v1.0||408998","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Smoellendorffii_v1.0||417541","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Smoellendorffii_v1.0||417541","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Smoellendorffii_v1.0||447161","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Smoellendorffii_v1.0||447161","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Smoellendorffii_v1.0||73987","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Smoellendorffii_v1.0||80785","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Sphagnum_fallax||Sphfalx12G001300.1","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo0G0117100","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Spolyrhiza_v2||Spipo0G0170600","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo0G0170600","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Spolyrhiza_v2||Spipo21G0037400","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo22G0002600","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Spolyrhiza_v2||Spipo22G0002600","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo24G0022600","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo27G0012700","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo27G0012700","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo27G0012700","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo3G0022900","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Spolyrhiza_v2||Spipo6G0050300","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Taxus_chinensis||evm2.model.Chr10.1233","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Taxus_chinensis||evm2.model.Chr10.1233","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Taxus_chinensis||evm2.model.Chr10.1233","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Taxus_chinensis||evm2.model.Chr10.1233","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Taxus_chinensis||evm2.model.Chr12.405","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Taxus_chinensis||evm2.model.Chr12.405","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Taxus_chinensis||evm2.model.Chr12.405","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d003856_T001","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d007606_T001","sp|Q8LL69|DBNBT_TAXCA"
"0.21","Zmays_RefGen_V4||Zm00001d007606_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d027946_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d027946_T001","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d027948_T001","sp|Q9M6F0|T5AT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d033521_T001","tr|Q8H2B5|Q8H2B5_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d035249_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d048871_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d048871_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d048872_T001","sp|Q9FPW3|DBBT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d048872_T001","sp|Q9M6E2|DBAT_TAXCU"
"0.21","Zmays_RefGen_V4||Zm00001d048872_T001","sp|Q9M6F0|T5AT_TAXCU"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00727.2"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Bdistachyon_v3.1||Bradi1g72220.1"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Bdistachyon_v3.1||Bradi3g23280.1"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Csinensis_v1.1||orange1.1g031330m"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Csinensis_v1.1||orange1.1g041298m"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Csinensis_v1.1||orange1.1g044203m"
"0.21","sp|Q8LL69|DBNBT_TAXCA","GWHPAOSJ012881"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Mdomestica_v1.0||MDP0000152387"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Mdomestica_v1.0||MDP0000160216"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Mdomestica_v1.0||MDP0000722697"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Mdomestica_v1.0||MDP0000731680"
"0.21","sp|Q8LL69|DBNBT_TAXCA","PWA74645.1"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Ptrichocarpa_v4.1||Potri.001G447900.2"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Slycopersicum_ITAG3.2||Solyc08g005750.2.1"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Spolyrhiza_v2||Spipo0G0117100"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Spolyrhiza_v2||Spipo22G0002600"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Taxus_chinensis||evm2.model.Chr10.1233"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Taxus_chinensis||evm2.model.Chr12.405"
"0.21","sp|Q8LL69|DBNBT_TAXCA","Zmays_RefGen_V4||Zm00001d007606_T001"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.418"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00057.237"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00137.5"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Csinensis_v1.1||orange1.1g031330m"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Csinensis_v1.1||orange1.1g041298m"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Csinensis_v1.1||orange1.1g044203m"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Csinensis_v1.1||orange1.1g048162m"
"0.21","sp|Q9FPW3|DBBT_TAXCU","GWHPAOSJ027345"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Mdomestica_v1.0||MDP0000261618"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Mdomestica_v1.0||MDP0000297585"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Osativa_v7.0||LOC_Os10g23310.1"
"0.21","sp|Q9FPW3|DBBT_TAXCU","PWA47939.1"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Sbicolor_v3.1.1||Sobic.010G034800.1"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Slycopersicum_ITAG3.2||Solyc05g015770.1.1"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Slycopersicum_ITAG3.2||Solyc07g049660.3.1"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Sphagnum_fallax||Sphfalx12G001300.1"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo21G0037400"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo22G0002600"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo24G0022600"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Spolyrhiza_v2||Spipo27G0012700"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Taxus_chinensis||evm2.model.Chr10.1233"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Zmays_RefGen_V4||Zm00001d007606_T001"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Zmays_RefGen_V4||Zm00001d048871_T001"
"0.21","sp|Q9FPW3|DBBT_TAXCU","Zmays_RefGen_V4||Zm00001d048872_T001"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.414"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00045.99"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.197"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.198"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.199"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00137.5"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Bdistachyon_v3.1||Bradi1g72237.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Csinensis_v1.1||orange1.1g045235m"
"0.21","sp|Q9M6E2|DBAT_TAXCU","GWHPAOSJ021735"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Mdomestica_v1.0||MDP0000261618"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Mdomestica_v1.0||MDP0000297027"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Mdomestica_v1.0||MDP0000388537"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os03g47860.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os10g23310.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os11g42290.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Osativa_v7.0||LOC_Os11g42370.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","PWA70548.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","PWA74645.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","PWA90336.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Slycopersicum_ITAG3.2||Solyc05g015795.1.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Slycopersicum_ITAG3.2||Solyc08g005750.2.1"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Smoellendorffii_v1.0||408998"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Smoellendorffii_v1.0||417541"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Smoellendorffii_v1.0||447161"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Smoellendorffii_v1.0||80785"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo27G0012700"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo3G0022900"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Spolyrhiza_v2||Spipo6G0050300"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Taxus_chinensis||evm2.model.Chr10.1233"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d027946_T001"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d035249_T001"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d048871_T001"
"0.21","sp|Q9M6E2|DBAT_TAXCU","Zmays_RefGen_V4||Zm00001d048872_T001"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00045.99"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.197"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.198"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00058.199"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00137.5"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold01004.2"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Bdistachyon_v3.1||Bradi1g72230.1"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Bdistachyon_v3.1||Bradi1g72237.1"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Bdistachyon_v3.1||Bradi3g23280.1"
"0.21","sp|Q9M6F0|T5AT_TAXCU","GWHPAOSJ012881"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Mdomestica_v1.0||MDP0000297027"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Osativa_v7.0||LOC_Os10g23820.1"
"0.21","sp|Q9M6F0|T5AT_TAXCU","PWA90337.1"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Slycopersicum_ITAG3.2||Solyc05g015770.1.1"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Smoellendorffii_v1.0||408998"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo0G0170600"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Spolyrhiza_v2||Spipo27G0012700"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Taxus_chinensis||evm2.model.Chr10.1233"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Taxus_chinensis||evm2.model.Chr12.405"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d027946_T001"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d027948_T001"
"0.21","sp|Q9M6F0|T5AT_TAXCU","Zmays_RefGen_V4||Zm00001d048872_T001"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.410","sp|Q9FPW3|DBBT_TAXCU"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.411","sp|Q9FPW3|DBBT_TAXCU"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.414","sp|Q9FPW3|DBBT_TAXCU"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.418","sp|Q8LL69|DBNBT_TAXCA"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.418","sp|Q9M6E2|DBAT_TAXCU"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.418","sp|Q9M6F0|T5AT_TAXCU"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.209","sp|Q9M6F0|T5AT_TAXCU"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00011.210","sp|Q9FPW3|DBBT_TAXCU"
"0.22","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00045.98","sp|Q9FPW3|DBBT_TAXCU"
