"PSI","Species A","Species B"
"0.25","sp|Q84KI1|T14H_TAXCU","Osativa_v7.0||LOC_Os07g33420.3"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA36951.1"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA45691.1"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA52775.1"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA74583.1"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA78421.1"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA78928.1"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA81420.1"
"0.25","sp|Q84KI1|T14H_TAXCU","PWA91198.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Ptrichocarpa_v4.1||Potri.001G200100.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Ptrichocarpa_v4.1||Potri.001G270800.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Ptrichocarpa_v4.1||Potri.002G033000.3"
"0.25","sp|Q84KI1|T14H_TAXCU","Ptrichocarpa_v4.1||Potri.009G064900.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Ptrichocarpa_v4.1||Potri.009G143600.2"
"0.25","sp|Q84KI1|T14H_TAXCU","Ptrichocarpa_v4.1||Potri.011G137800.2"
"0.25","sp|Q84KI1|T14H_TAXCU","Sbicolor_v3.1.1||Sobic.001G147500.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Sbicolor_v3.1.1||Sobic.001G147900.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Sbicolor_v3.1.1||Sobic.006G183900.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Slycopersicum_ITAG3.2||Solyc02g084740.3.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Slycopersicum_ITAG3.2||Solyc02g093540.3.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Slycopersicum_ITAG3.2||Solyc03g121510.3.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Slycopersicum_ITAG3.2||Solyc04g009930.2.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Slycopersicum_ITAG3.2||Solyc08g007050.2.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Smoellendorffii_v1.0||95630"
"0.25","sp|Q84KI1|T14H_TAXCU","Smoellendorffii_v1.0||98891"
"0.25","sp|Q84KI1|T14H_TAXCU","Sphagnum_fallax||Sphfalx04G089200.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Sphagnum_fallax||Sphfalx08G021100.1"
"0.25","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr03.1353"
"0.25","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr05.1096"
"0.25","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr05.3519"
"0.25","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr07.2604"
"0.25","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr11.195"
"0.25","sp|Q84KI1|T14H_TAXCU","Zmays_RefGen_V4||Zm00001d002629_T001"
"0.25","sp|Q84KI1|T14H_TAXCU","Zmays_RefGen_V4||Zm00001d013629_T001"
"0.25","sp|Q84KI1|T14H_TAXCU","Zmays_RefGen_V4||Zm00001d026083_T001"
"0.25","sp|Q8W4T9|T13H_TAXCU","Athaliana_TAIR10||AT1G12740.2"
"0.25","sp|Q8W4T9|T13H_TAXCU","Athaliana_TAIR10||AT1G73340.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Athaliana_TAIR10||AT5G38970.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Athaliana_TAIR10||AT5G48000.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.327"
"0.25","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.430"
"0.25","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00032.257"
"0.25","sp|Q8W4T9|T13H_TAXCU","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00045.136"
"0.25","sp|Q8W4T9|T13H_TAXCU","Bdistachyon_v3.1||Bradi4g00540.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Bdistachyon_v3.1||Bradi4g04931.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Bdistachyon_v3.1||Bradi4g05240.2"
"0.25","sp|Q8W4T9|T13H_TAXCU","Bdistachyon_v3.1||Bradi5g18780.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Csinensis_v1.1||orange1.1g010899m"
"0.25","sp|Q8W4T9|T13H_TAXCU","Csinensis_v1.1||orange1.1g012100m"
"0.25","sp|Q8W4T9|T13H_TAXCU","Csinensis_v1.1||orange1.1g037545m"
"0.25","sp|Q8W4T9|T13H_TAXCU","Csinensis_v1.1||orange1.1g039939m"
"0.25","sp|Q8W4T9|T13H_TAXCU","Csinensis_v1.1||orange1.1g040767m"
"0.25","sp|Q8W4T9|T13H_TAXCU","Csinensis_v1.1||orange1.1g046307m"
"0.25","sp|Q8W4T9|T13H_TAXCU","GWHPAOSJ024984"
"0.25","sp|Q8W4T9|T13H_TAXCU","Gmax_Wm82.a4.v1||Glyma.01G199800.2"
"0.25","sp|Q8W4T9|T13H_TAXCU","Gmax_Wm82.a4.v1||Glyma.01G216900.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Gmax_Wm82.a4.v1||Glyma.09G160900.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Gmax_Wm82.a4.v1||Glyma.11G026200.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Gmax_Wm82.a4.v1||Glyma.16G210300.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Olucimarinus_v2.0||87742"
"0.25","sp|Q8W4T9|T13H_TAXCU","Osativa_v7.0||LOC_Os02g45280.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Osativa_v7.0||LOC_Os04g48170.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Osativa_v7.0||LOC_Os07g29960.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","PWA46741.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","PWA70931.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","PWA84874.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Ptrichocarpa_v4.1||Potri.001G109100.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Ptrichocarpa_v4.1||Potri.004G183800.2"
"0.25","sp|Q8W4T9|T13H_TAXCU","Ptrichocarpa_v4.1||Potri.007G018400.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Ptrichocarpa_v4.1||Potri.009G143600.2"
"0.25","sp|Q8W4T9|T13H_TAXCU","Ptrichocarpa_v4.1||Potri.011G137800.2"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sbicolor_v3.1.1||Sobic.001G147500.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sbicolor_v3.1.1||Sobic.001G147650.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sbicolor_v3.1.1||Sobic.001G147900.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sbicolor_v3.1.1||Sobic.001G164100.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sbicolor_v3.1.1||Sobic.001G164200.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sbicolor_v3.1.1||Sobic.001G423666.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sbicolor_v3.1.1||Sobic.004G283900.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Slycopersicum_ITAG3.2||Solyc02g084740.3.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Slycopersicum_ITAG3.2||Solyc03g019870.3.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Slycopersicum_ITAG3.2||Solyc04g009930.2.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Smoellendorffii_v1.0||95630"
"0.25","sp|Q8W4T9|T13H_TAXCU","Smoellendorffii_v1.0||98891"
"0.25","sp|Q8W4T9|T13H_TAXCU","Sphagnum_fallax||Sphfalx04G089200.1"
"0.25","sp|Q8W4T9|T13H_TAXCU","Spolyrhiza_v2||Spipo0G0021200"
"0.25","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr05.3519"
"0.25","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr07.2604"
"0.25","sp|Q8W4T9|T13H_TAXCU","Zmays_RefGen_V4||Zm00001d011117_T001"
"0.25","sp|Q8W4T9|T13H_TAXCU","Zmays_RefGen_V4||Zm00001d013629_T001"
"0.25","sp|Q8W4T9|T13H_TAXCU","Zmays_RefGen_V4||Zm00001d013719_T001"
"0.25","sp|Q8W4T9|T13H_TAXCU","Zmays_RefGen_V4||Zm00001d013720_T001"
"0.26","Athaliana_TAIR10||AT1G12740.2","sp|Q6WG30|T5H_TAXCU"
"0.26","Athaliana_TAIR10||AT1G12740.2","sp|Q84KI1|T14H_TAXCU"
"0.26","Athaliana_TAIR10||AT1G12740.2","sp|Q9AXM6|T10H_TAXCU"
"0.26","Athaliana_TAIR10||AT1G19630.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Athaliana_TAIR10||AT1G19630.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Athaliana_TAIR10||AT1G73340.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Athaliana_TAIR10||AT1G73340.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Athaliana_TAIR10||AT2G32440.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Athaliana_TAIR10||AT3G13730.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Athaliana_TAIR10||AT3G30180.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Athaliana_TAIR10||AT3G30180.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Athaliana_TAIR10||AT4G36380.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Athaliana_TAIR10||AT4G36380.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Athaliana_TAIR10||AT5G36140.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Athaliana_TAIR10||AT5G36140.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Athaliana_TAIR10||AT5G38970.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Athaliana_TAIR10||AT5G38970.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Athaliana_TAIR10||AT5G38970.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.327","sp|Q9AXM6|T10H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.430","sp|Q6WG30|T5H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00002.430","sp|Q84KI1|T14H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00030.2","sp|Q84KI1|T14H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00030.2","sp|Q8W4T9|T13H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00030.2","sp|Q9AXM6|T10H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00032.258","sp|Q6WG30|T5H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00047.151","sp|Q6WG30|T5H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00047.151","sp|Q84KI1|T14H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00047.151","sp|Q9AXM6|T10H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00059.35","sp|Q8W4T9|T13H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00061.116","sp|Q9AXM6|T10H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00069.70","sp|Q84KI1|T14H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00149.33","sp|Q84KI1|T14H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00149.33","sp|Q8W4T9|T13H_TAXCU"
"0.26","Atrichopoda_v1.0||evm_27.model.AmTr_v1.0_scaffold00149.33","sp|Q9AXM6|T10H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi1g02575.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi1g09917.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi1g51780.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi1g69040.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi1g69040.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi2g05980.3","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi2g05980.3","sp|Q9AXM6|T10H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi2g33050.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi3g51550.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi3g51550.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi4g04931.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g00467.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g00467.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g03264.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g03264.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g03264.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g03327.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g03327.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g18660.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g18780.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Bdistachyon_v3.1||Bradi5g18790.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Creinhardtii_v5.6||Cre07.g325000.t1.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g010899m","sp|Q6WG30|T5H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g010899m","sp|Q84KI1|T14H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g011403m","sp|Q6WG30|T5H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g012199m","sp|Q8W4T9|T13H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g012524m","sp|Q8W4T9|T13H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g012524m","sp|Q9AXM6|T10H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g018520m","sp|Q6WG30|T5H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g018520m","sp|Q84KI1|T14H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g039939m","sp|Q6WG30|T5H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g039939m","sp|Q84KI1|T14H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g040767m","sp|Q84KI1|T14H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g041819m","sp|Q84KI1|T14H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g046307m","sp|Q6WG30|T5H_TAXCU"
"0.26","Csinensis_v1.1||orange1.1g046307m","sp|Q84KI1|T14H_TAXCU"
"0.26","GWHPAOSJ000532","sp|Q84KI1|T14H_TAXCU"
"0.26","GWHPAOSJ001642","sp|Q84KI1|T14H_TAXCU"
"0.26","GWHPAOSJ003438","sp|Q6WG30|T5H_TAXCU"
"0.26","GWHPAOSJ003438","sp|Q84KI1|T14H_TAXCU"
"0.26","GWHPAOSJ003438","sp|Q8W4T9|T13H_TAXCU"
"0.26","GWHPAOSJ004053","sp|Q9AXM6|T10H_TAXCU"
"0.26","GWHPAOSJ008229","sp|Q9AXM6|T10H_TAXCU"
"0.26","GWHPAOSJ008231","sp|Q9AXM6|T10H_TAXCU"
"0.26","GWHPAOSJ014547","sp|Q6WG30|T5H_TAXCU"
"0.26","GWHPAOSJ014547","sp|Q84KI1|T14H_TAXCU"
"0.26","GWHPAOSJ014547","sp|Q8W4T9|T13H_TAXCU"
"0.26","GWHPAOSJ017804","sp|Q6WG30|T5H_TAXCU"
"0.26","GWHPAOSJ017804","sp|Q8W4T9|T13H_TAXCU"
"0.26","GWHPAOSJ022242","sp|Q84KI1|T14H_TAXCU"
"0.26","GWHPAOSJ022242","sp|Q8W4T9|T13H_TAXCU"
"0.26","GWHPAOSJ022242","sp|Q9AXM6|T10H_TAXCU"
"0.26","GWHPAOSJ024062","sp|Q8W4T9|T13H_TAXCU"
"0.26","GWHPAOSJ024062","sp|Q9AXM6|T10H_TAXCU"
"0.26","GWHPAOSJ024984","sp|Q6WG30|T5H_TAXCU"
"0.26","GWHPAOSJ024984","sp|Q9AXM6|T10H_TAXCU"
"0.26","GWHPAOSJ025324","sp|Q9AXM6|T10H_TAXCU"
"0.26","GWHPAOSJ028397","sp|Q84KI1|T14H_TAXCU"
"0.26","GWHPAOSJ028397","sp|Q8W4T9|T13H_TAXCU"
"0.26","GWHPAOSJ029010","sp|Q6WG30|T5H_TAXCU"
"0.26","GWHPAOSJ029010","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.01G175500.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.01G216900.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.01G216900.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.02G051600.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.02G051600.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.02G083000.2","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.02G120700.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.04G030100.2","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.04G030100.2","sp|Q84KI1|T14H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.04G030100.2","sp|Q8W4T9|T13H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.08G128600.2","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.08G128600.2","sp|Q8W4T9|T13H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.08G250000.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.08G250000.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.09G029400.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.09G029400.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.11G026200.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.11G026200.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.11G067700.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.11G073300.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.13G052900.3","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.14G027600.3","sp|Q8W4T9|T13H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.15G135200.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.15G135200.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.15G135200.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.16G133800.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.18G272300.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Gmax_Wm82.a4.v1||Glyma.18G272300.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Mdomestica_v1.0||MDP0000151989","sp|Q9AXM6|T10H_TAXCU"
"0.26","Mdomestica_v1.0||MDP0000183713","sp|Q8W4T9|T13H_TAXCU"
"0.26","Mdomestica_v1.0||MDP0000242569","sp|Q8W4T9|T13H_TAXCU"
"0.26","Mdomestica_v1.0||MDP0000242569","sp|Q9AXM6|T10H_TAXCU"
"0.26","Mdomestica_v1.0||MDP0000275594","sp|Q9AXM6|T10H_TAXCU"
"0.26","Mdomestica_v1.0||MDP0000303875","sp|Q9AXM6|T10H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os01g10040.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os01g10040.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os02g45280.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os03g12660.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os03g12660.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os03g45619.2","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os03g61980.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os04g48200.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os04g48200.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os05g11130.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os05g11130.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os06g02019.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os07g29960.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os07g30950.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os07g33420.3","sp|Q6WG30|T5H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os07g33420.3","sp|Q8W4T9|T13H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os10g23180.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os10g23180.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Osativa_v7.0||LOC_Os11g18570.1","sp|Q84KI1|T14H_TAXCU"
"0.26","PWA36951.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA36951.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA42701.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA42746.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA45691.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA45691.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA48203.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA51003.1","sp|Q6WG30|T5H_TAXCU"
"0.26","PWA51003.1","sp|Q84KI1|T14H_TAXCU"
"0.26","PWA51003.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA52775.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA59480.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA70929.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA70930.1","sp|Q6WG30|T5H_TAXCU"
"0.26","PWA70930.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA70931.1","sp|Q84KI1|T14H_TAXCU"
"0.26","PWA71559.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA74583.1","sp|Q6WG30|T5H_TAXCU"
"0.26","PWA74583.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA74583.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA76955.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","PWA78421.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA78928.1","sp|Q6WG30|T5H_TAXCU"
"0.26","PWA84874.1","sp|Q84KI1|T14H_TAXCU"
"0.26","PWA91198.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","PWA95646.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.001G341000.2","sp|Q84KI1|T14H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.003G122500.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.004G117700.2","sp|Q6WG30|T5H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.004G117700.2","sp|Q84KI1|T14H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.004G117700.2","sp|Q9AXM6|T10H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.004G183800.2","sp|Q9AXM6|T10H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.004G204100.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.005G124000.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.007G026500.1","sp|Q8W4T9|T13H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.009G143600.2","sp|Q9AXM6|T10H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.010G156800.3","sp|Q9AXM6|T10H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.011G137800.2","sp|Q9AXM6|T10H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.017G099000.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.017G099000.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.017G099000.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Ptrichocarpa_v4.1||Potri.017G154600.3","sp|Q9AXM6|T10H_TAXCU"
"0.26","Sbicolor_v3.1.1||Sobic.001G147500.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Sbicolor_v3.1.1||Sobic.001G147650.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Sbicolor_v3.1.1||Sobic.001G147900.1","sp|Q6WG30|T5H_TAXCU"
"0.26","Sbicolor_v3.1.1||Sobic.001G147900.1","sp|Q9AXM6|T10H_TAXCU"
"0.26","Sbicolor_v3.1.1||Sobic.001G445900.1","sp|Q84KI1|T14H_TAXCU"
"0.26","Sbicolor_v3.1.1||Sobic.001G445900.1","sp|Q8W4T9|T13H_TAXCU"
